Major_Genre,Title,Subgenre,Premiere Date,Premiere_Year,Seasons,Status,Min_Length,Max_Length,Seasons,Episodes,IMDB_Rating
Animation,Star Wars: The Clone Wars (season 6),Animation,7-Mar-14,2014,"1 season, 13 episodes",Ended,22,22,1,13,80
Comedy,Arrested Development (season 4),Comedy,26-May-13,2013,"1 season, 15 episodes",Renewed,28,37,1,15,89
Comedy,Russell Peters vs. the World,Docu-Series,3-Oct-13,2013,"1 season, 4 episodes",Ended,26,29,1,4,60
Comedy,BoJack Horseman,Adult Animation,22-Aug-14,2014,"3 seasons, 36 episodes",Renewed,25,26,3,36,84
Comedy,"Trailer Park Boys (seasons 8, 9, 10 and 11)",Mockumentary,5-Sep-14,2014,"4 seasons, 40 episodes",Pending,22,32,4,40,85
Comedy,Unbreakable Kimmy Schmidt,Comedy,6-Mar-15,2015,"3 seasons, 39 episodes",Pending,23,36,3,39,79
Comedy,Grace and Frankie,Comedy-drama,8-May-15,2015,"3 seasons, 39 episodes",Renewed,25,35,3,39,82
Comedy,Master of None,Comedy-drama,6-Nov-15,2015,"2 seasons, 20 episodes",Pending,21,57,2,20,83
Comedy,W/ Bob & David,Sketch comedy,13-Nov-15,2015,"1 season, 5 episodes",Ended,27,33,1,5,76
Comedy,Wet Hot American Summer: First Day of Camp,Satirical comedy,31-Jul-15,2015,8 episodes,NA,27,30,1,8,75
Comedy,F Is for Family,Sitcom,18-Dec-15,2015,"2 season, 16 episodes",Pending,25,28,2,16,79
Comedy,Love,Romantic comedy,19-Feb-16,2016,"2 season, 22 episodes",Renewed,27,40,2,22,78
Comedy,Fuller House,Sitcom,26-Feb-16,2016,"2 seasons, 26 episodes",Renewed,25,36,2,26,71
Comedy,Flaked,Comedy,11-Mar-16,2016,"2 season, 14 episodes",Pending,30,34,2,14,72
Comedy,Netflix Presents: The Characters,Sketch comedy,11-Mar-16,2016,"1 season, 8 episodes",Ended,27,38,1,8,53
Comedy,The Ranch,Sitcom,1-Apr-16,2016,"1 season, 20 episodes[a]",Ongoing,28,34,1,20,76
Comedy,Lady Dynamite,Comedy,20-May-16,2016,"1 season, 12 episodes",Renewed,26,35,1,12,76
Comedy,Easy,Romantic comedy anthology series,22-Sep-16,2016,"1 season, 8 episodes",Renewed,26,30,1,8,68
Comedy,Haters Back Off,Comedy,14-Oct-16,2016,"1 season, 8 episodes",Renewed,29,36,1,8,62
Comedy,Trailer Park Boys Out of the Park: Europe,Mockumentary,28-Oct-16,2016,8 episodes,NA,22,30,1,8,72
Comedy,Lovesick (season 2),Comedy,17-Nov-16,2016,"1 season, 8 episodes",Renewed,25,27,1,8,81
Comedy,One Day at a Time,Sitcom,6-Jan-17,2017,"1 season, 13 episodes",Renewed,26,31,1,13,81
Comedy,Santa Clarita Diet,Comedy-horror,3-Feb-17,2017,"1 season, 10 episodes",Renewed,26,29,1,10,77
Comedy,Mystery Science Theater 3000: The Return,Comic science fiction,14-Apr-17,2017,"1 season, 14 episodes",Pending,86,94,1,14,86
Comedy,Girlboss,Comedy,21-Apr-17,2017,"1 season, 13 episodes",Pending,24,29,1,13,72
Comedy,Dear White People,Satire/Drama,28-Apr-17,2017,"1 season, 10 episodes",Pending,21,33,1,10,64
Docu-Series,Chef's Table,Culinary art,26-Apr-15,2015,"3 seasons, 18 episodes",Pending,42,58,3,18,87
Docu-Series,Making a Murderer,Crime drama,18-Dec-15,2015,"1 season, 10 episodes",Renewed,47,66,1,10,88
Docu-Series,Chelsea Does,Comedy,23-Jan-16,2016,"1 season, 4 episodes",Ended,62,74,1,4,75
Docu-Series,Cooked,Culinary art,19-Feb-16,2016,"1 season, 4 episodes",Ended,50,58,1,4,82
Docu-Series,Last Chance U,Sport,29-Jul-16,2016,"1 season, 6 episodes",Renewed,50,58,1,6,85
Docu-Series,Fearless,Sport,19-Aug-16,2016,"1 season, 6 episodes",Pending,50,58,1,6,0
Docu-Series,Chef's Table: France,Culinary art,2-Sep-16,2016,"1 season, 4 episodes",Pending,41,54,1,4,84
Docu-Series,Roman Empire: Reign of Blood,Historical drama,11-Nov-16,2016,"1 season, 6 episodes",Pending,44,48,1,6,67
Docu-Series,White Rabbit Project,Science investigation,9-Dec-16,2016,"1 season, 10 episodes",Pending,45,48,1,10,70
Docu-Series,Captive,Documentary,9-Dec-16,2016,"1 season, 8 episodes",Pending,59,73,1,8,53
Docu-Series,Abstract: The Art of Design,Documentary,10-Feb-17,2017,"1 season, 8 episodes",Pending,41,48,1,8,86
Docu-Series,Five Came Back,Documentary,31-Mar-17,2017,"1 season, 3 episodes",Pending,59,69,1,3,86
Docu-Series,Hot Girls Wanted: Turned On,Documentary,21-Apr-17,2017,"1 season, 6 episodes",Pending,41,58,1,6,69
Docu-Series,The Keepers,Documentary,19-May-17,2017,"1 season, 7 episodes",Pending,56,66,1,7,84
Drama,House of Cards,Political drama,1-Feb-13,2013,"5 seasons, 65 episodes",Pending,42,59,5,65,90
Drama,Hemlock Grove,Horror/thriller,19-Apr-13,2013,"3 seasons, 33 episodes",Ended,45,58,3,33,72
Drama,Orange Is the New Black,Comedy-drama,11-Jul-13,2013,"5 seasons, 65 episodes",Renewed,51,92,5,65,83
Drama,Marco Polo,Historical drama,12-Dec-14,2014,"2 seasons, 20 episodes",Ended,48,65,2,20,81
Drama,The Killing (season 4),Crime drama,1-Aug-14,2014,"1 season, 6 episodes",Ended,54,60,1,6,77
Drama,Bloodline,Thriller,20-Mar-15,2015,"3 seasons, 33 episodes",Ended,48,68,3,33,82
Drama,Sense8,Science fiction,5-Jun-15,2015,"2 seasons, 23 episodes",Ended,45,12,2,23,84
Drama,Narcos,Crime drama,28-Aug-15,2015,"2 seasons, 20 episodes",Renewed,43,57,2,20,89
Drama,Longmire (seasons 4 and 5),Crime drama,10-Sep-15,2015,"2 seasons, 20 episodes",Renewed,55,71,2,20,83
Drama,Stranger Things,Science fiction/horror,15-Jul-16,2016,"1 season, 8 episodes",Ongoing,41,55,1,9,90
Drama,The Get Down,Musical drama,12-Aug-16,2016,"1 season, 11 episodes[a]",Ended,50,93,1,11,84
Drama,The Crown,Historical drama,4-Nov-16,2016,"1 season, 10 episodes",Renewed,55,61,1,10,88
Drama,The OA,Mystery,16-Dec-16,2016,"1 season, 8 episodes",Renewed,31,71,1,8,79
Drama,Gilmore Girls: A Year in the Life,Family drama,25-Nov-16,2016,4 episodes,NA,88,102,1,4,80
Drama,Black Mirror (season 3),Science fictionanthology series,21-Oct-16,2016,"1 season, 6 episodes",Renewed,52,89,1,6,89
Drama,A Series of Unfortunate Events,Black-comedy mystery,13-Jan-17,2017,"1 season, 8 episodes",Renewed,42,64,1,8,80
Drama,13 Reasons Why,Teen drama/mystery,31-Mar-17,2017,"1 season, 13 episodes",Renewed,49,61,1,13,86
Drama,The Last Kingdom (season 2) (co-production with BBC Two),Period drama,5-May-17,2017,"1 season, 8 episodes",Pending,57,59,1,8,83
Family Animation,Ever After High,Animation,15-Dec-13,2013,"4 seasons, 16 episodes",Pending,23,45,4,16,81
Family Animation,Turbo FAST,Animation,24-Dec-13,2013,"3 seasons, 52 episodes",Ended,23,23,3,52,71
Family Animation,VeggieTales in the House,Animation,26-Nov-14,2014,"4 seasons, 52 episodes",Ended,23,23,4,52,50
Family Animation,All Hail King Julien,Animation,19-Dec-14,2014,"4 seasons, 52 episodes",Ended,23,23,4,52,75
Family Animation,The Adventures of Puss in Boots,Animation,16-Jan-15,2015,"4 seasons, 52 episodes",Pending,22,22,4,52,69
Family Animation,Dinotrux,Animation,14-Aug-15,2015,"4 seasons, 46 episodes",Pending,22,22,4,46,76
Family Animation,The Mr. Peabody & Sherman Show,Animation,9-Oct-15,2015,"4 seasons, 52 episodes",Renewed,23,23,4,52,61
Family Animation,Popples,Animation,30-Oct-15,2015,"3 seasons, 26 episodes",Ended,24,24,3,26,66
Family Animation,Care Bears & Cousins,Animation,6-Nov-15,2015,"2 seasons, 12 episodes",Ended,22,22,2,12,74
Family Animation,Dawn of the Croods,Animation,24-Dec-15,2015,"3 seasons, 39 episodes",Pending,23,23,3,39,61
Family Animation,"DreamWorks Dragons (seasons 3, 4, 5 and 6)",Animation,26-Jun-15,2015,"4 seasons, 52 episodes",Pending,22,23,4,52,85
Family Animation,Lego Bionicle: The Journey to One,Animation,4-Mar-16,2016,"2 seasons, 5 episodes",Ended,22,22,2,5,71
Family Animation,Lego Friends: The Power of Friendship,Animation,4-Mar-16,2016,"2 seasons, 4 episodes",Ended,22,22,2,4,65
Family Animation,Kong: King of the Apes,Animation,15-Apr-16,2016,"1 season, 13 episodes",Renewed,22,85,1,13,64
Family Animation,Voltron: Legendary Defender,Animation,10-Jun-16,2016,"2 seasons, 24 episodes",Renewed,23,68,2,24,84
Family Animation,Justin Time GO!,Animation,24-Jun-16,2016,"1 season, 13 episodes",Pending,22,22,1,13,73
Family Animation,Word Party,Animation,8-Jul-16,2016,"2 seasons, 26 episodes",Pending,13,13,2,26,77
Family Animation,Home: Adventures with Tip & Oh,Animation,29-Jul-16,2016,"2 seasons, 26 episodes",Pending,22,22,2,26,64
Family Animation,Ask the StoryBots,Animation,12-Aug-16,2016,"1 season, 6 episodes",Pending,20,24,1,6,83
Family Animation,Kulipari: An Army of Frogs,Animation,2-Sep-16,2016,"1 season, 13 episodes",Renewed,22,23,1,13,79
Family Animation,StoryBots Super Songs,Animation,7-Oct-16,2016,"1 season, 5 episodes",Pending,20,24,1,5,96
Family Animation,Skylanders Academy,Animation,28-Oct-16,2016,"1 season, 12 episodes",Renewed,24,44,1,12,71
Family Animation,World of Winx,Animation,4-Nov-16,2016,"1 season, 13 episodes",Ongoing,24,24,1,13,85
Family Animation,Luna Petunia,Animation,9-Dec-16,2016,"1 season, 11 episodes",Pending,23,24,1,11,76
Family Animation,Trollhunters,Animation,23-Dec-16,2016,"1 season, 26 episodes",Renewed,23,23,1,26,86
Family Animation,Tarzan and Jane,Animation,6-Jan-17,2017,"1 season, 8 episodes",Pending,22,22,1,8,59
Family Animation,We're Lalaloopsy,Animation,10-Jan-17,2017,"1 season, 13 episodes",Pending,22,22,1,13,0
Family Animation,VeggieTales in the City,Animation,24-Feb-17,2017,"1 season, 13 episodes",Pending,22,22,1,13,72
Family Animation,Legend Quest,Animation,24-Feb-17,2017,"1 season, 13 episodes",Pending,22,22,1,13,41
Family Animation,Buddy Thunderstruck,Animation,10-Mar-17,2017,"1 season, 12 episodes",Pending,13,24,1,12,83
Family Animation,Spirit Riding Free,Animation,5-May-17,2017,"1 season, 6 episodes",Pending,23,23,1,6,61
Family Animation,All Hail King Julien: Exiled,Animation,12-May-17,2017,"1 season, 13 episodes",Pending,23,23,1,13,92
Family Live Action,Richie Rich,Sitcom,20-Feb-15,2015,"2 seasons, 21 episodes",Ended,21,23,2,21,41
Family Live Action,Project Mc2,Comedy/educational,7-Aug-15,2015,"3 seasons, 15 episodes",Renewed,22,29,3,15,0
Family Live Action,Julie's Greenroom,Educational,17-Mar-17,2017,"1 seasons, 13 episodes",Pending,27,34,1,13,89
Foreign Language,Club de Cuervos,Comedy-drama,7-Aug-15,2015,"2 season, 23 episodes",Renewed,36,47,2,23,81
Foreign Language,Marseille,Political drama,5-May-16,2016,"1 season, 8 episodes",Renewed,35,44,1,8,69
Foreign Language,Hibana (Spark),Drama,2-Jun-16,2016,"1 season, 10 episodes",Ended,46,60,1,10,81
Foreign Language,Midnight Diner: Tokyo Stories,Drama,21-Oct-16,2016,"1 season, 10 episodes",Pending,23,24,1,10,84
Foreign Language,3%,Science fiction,25-Nov-16,2016,"1 season, 8 episodes",Renewed,38,49,1,8,76
Foreign Language,Samurai Gourmet,Drama,17-Mar-17,2017,"1 season, 12 episodes",Pending,16,24,1,12,89
Foreign Language,Ingobernable,Political drama,24-Mar-17,2017,"1 season, 15 episodes",Renewed,32,50,1,15,73
Foreign Language,Las Chicas del Cable (Cable Girls),Period drama,28-Apr-17,2017,"1 season, 8 episodes",Renewed,47,63,1,8,76
